county,2012,2013,2014,2015,2016
Alameda,0.001611733419292449,0.004771371769383698,0.014058106841611996,0.0031971353667114267,0.006570194313496822
Alpine,0,3.2967032967032965,1.7543859649122806,0.9900990099009901,1.075268817204301
Amador,4.601048340128131,5.459940652818991,5.3107344632768365,2.687877125617115,2.6628895184135977
Butte,8.428653131255361,8.301092784904636,7.032303641384626,5.85844093735055,5.272770119005537
Calaveras,5.432196669310072,5.78416149068323,4.371387283236994,3.6618754277891856,3.807471264367816
Colusa,17.26105563480742,20.05610098176718,16.689655172413794,9.07715582450832,6.995230524642289
Contra Costa,31.18840403917882,30.403299725022915,31.598639455782315,32.54104725981806,34.05131826741996
Del Norte,4.450361354127044,5.267326732673268,4.282907662082515,3.655145013905443,4.181051016494054
El Dorado,14.898865318204244,16.288885415038298,14.903216416824334,12.454410374172632,11.49552033080634
Fresno,55.97636465953855,0.005507639095425355,0.00636368457336798,7.5252458212932805,8.566137566137566
Glenn,0,0,5.766710353866317,4.025974025974026,3.5021888680425266
Humboldt,9.0460931722948,9.782115297321834,8.302530565823144,9.480476505625415,8.34136159280668
Imperial,5.100805015316663,4.993800799008128,4.342369477911647,3.5364589333026153,3.8437266938213526
Inyo,16.927899686520373,14.744801512287335,10.205992509363297,6.3809523809523805,5.238540692235734
Kern,24.613657946991278,23.457390604296997,20.333344100261638,16.541142831876666,14.76740555729004
Kings,53.69908561928512,55.05222981116914,49.13809990205681,36.402410755679185,26.403132575051277
Lake,10.394762943860345,11.38320260187488,10.135746606334841,8.489208633093526,7.494711393170142
Lassen,5.767844268204758,6.38148667601683,6.510416666666666,6.237816764132553,6.500956022944551
Los Angeles,15.504735156213732,15.250999874455225,15.329112713762772,15.3387006509843,6.48764099133156
Madera,36.23646641755294,35.34125188536954,31.26792387242548,24.309758726473756,21.965366509751174
Marin,5.3239487457137695,6.733772995487678,5.968468468468468,3.8005847053392827,2.922755741127349
Mariposa,1.6,1.4130434782608696,1.2935323383084576,1.7825311942959003,1.6605166051660518
Mendocino,12.924606462303231,13.736819297992199,12.590831021270974,10.336538461538462,9.575266396518085
Merced,2.095168840612644,2.165011326014985,1.4608124743537136,0.9973587732092877,0.867430441898527
Modoc,12.300683371298406,12.53012048192771,10.278372591006423,10.10989010989011,10.961538461538462
Mono,4.026845637583892,3.75,4.7892720306513406,14.23076923076923,12.723214285714285
Monterey,55.89650711513583,57.00786622470687,48.43276036400405,27.761890096352676,19.556534912546482
Napa,5.504055619930475,3.5076730347635454,2.495745887691435,2.7257709251101323,2.548131370328426
Nevada,1.2544314153258793,1.4879425346331452,2.392797915185975,2.176456821904985,3.4758746855705462
Orange,54.75213361100902,53.8979815542788,54.43766793193159,53.288467916103826,50.12444122266522
Placer,0,0,0,0,0
Plumas,3.439153439153439,6.85640362225097,12.656903765690377,7.163053722902922,5.631244323342416
Riverside,43.27041031180768,42.226252158894646,36.08793931447234,27.69145265497997,21.96090005980722
Sacramento,2.2221977634938805,0.8531595376697882,0.7517093259246124,0.8309035122825071,0.5477629751354736
San Benito,0,8.56929955290611,6.531365313653137,5.442428730099963,6.324582338902148
San Bernardino,33.85123683533702,32.50154942186219,27.51084118317981,21.108758464015526,17.570407031506903
San Diego,43.01670508450441,40.499016816116054,38.97343076132377,38.147245518599476,37.71802274531291
San Francisco,19.790337283500456,20.064805583250248,20.02669821910743,19.602348151862888,19.003779160628532
San Joaquin,24.4119662023293,25.142662464866707,20.638230271257793,16.359550561797754,14.813020732416199
San Luis Obispo,0,0,0,0,0
San Mateo,0.0073464590067587425,0.027599530807976263,0,0,0.013248542660307366
Santa Barbara,0.11269986616890892,0.08365867261572783,3.8279954064055124,3.4848128090416766,8.054570259208731
Santa Clara,50.45882784779151,47.49502830044363,45.52610297421152,45.356460227577216,45.31376119234884
Santa Cruz,0.8466860888565185,2.9464822609741432,6.998871149814547,11.359873299258513,12.986206896551725
Shasta,6.677380474085979,5.759382083788095,4.7637764326703875,4.079609577550709,3.9660493827160495
Sierra,3.2051282051282053,4.487179487179487,4.9079754601226995,7.558139534883721,8.280254777070065
Siskiyou,3.6410445016550206,5.379310344827586,4.805276381909548,4.31167231290422,4.382093316519546
Solano,0.4259797534328956,0.9864305649119431,0.9420419881571864,0,3.140753959402186
Sonoma,32.48504622077216,31.194477148667453,31.154164939908828,30.710144209326526,30.73658843252305
Stanislaus,28.232091117993807,25.32319025494114,18.886012175495065,12.718170126768326,11.060457789340525
Statewide,24.23300286167659,21.07299512775614,19.835959963568122,18.55323147682493,15.0245856244883
Sutter,21.830276154001208,23.144774688398847,19.633647519117908,11.669879095847206,7.947598253275109
Tehama,16.804930078217588,17.38425925925926,14.394090636853663,12.398753894080997,11.11111111111111
Trinity,4.768041237113402,6.167979002624672,3.7962037962037964,2.995169082125604,2.7720739219712525
Tulare,0,0,0,0,0
Tuolumne,2.540834845735027,2.6874115983026874,2.8913260219341974,2.759276879162702,3.132992327365729
Ventura,0,0,0,0,0
Yolo,0,0,0,0,0
Yuba,15.183518005540167,15.202643938076188,11.549950215731828,6.89709846202632,5.6668295065950165
